,run,wafer,site,value
478,20,5,site3,411.55
479,20,6,site3,421.71
480,21,1,site3,413.6
481,21,2,site3,431.28
482,21,3,site3,434.65
483,21,4,site3,416.41
484,21,5,site3,423.53
485,21,6,site3,429.3
486,22,1,site3,393.78
487,22,2,site3,424.75
488,22,3,site3,434.81
489,22,4,site3,415.83
490,22,5,site3,421.66
491,22,6,site3,412.1
492,23,1,site3,424.89
493,23,2,site3,433.69
494,23,3,site3,415.9
495,23,4,site3,420.41
496,23,5,site3,429.22
497,23,6,site3,417.66
498,24,1,site3,389.68
499,24,2,site3,425.09
500,24,3,site3,435.76
501,24,4,site3,414.21
502,24,5,site3,419.34
503,24,6,site3,414.38
504,25,1,site3,396.68
505,25,2,site3,425.59
506,25,3,site3,435.78
507,25,4,site3,409.45
508,25,5,site3,422.79
509,25,6,site3,421.5
510,26,1,site3,426.03
511,26,2,site3,433.51
512,26,3,site3,415.45
513,26,4,site3,420.78
514,26,5,site3,425.47
515,26,6,site3,421.33
516,27,1,site3,442.86
517,27,2,site3,416.01
518,27,3,site3,426.6
519,27,4,site3,429.62
520,27,5,site3,419.76
521,27,6,site3,426.89
522,28,1,site3,405.72
523,28,2,site3,426.34
524,28,3,site3,433.5
525,28,4,site3,415.15
526,28,5,site3,425.25
527,28,6,site3,428.28
528,29,1,site3,421.96
529,29,2,site3,431.71
530,29,3,site3,410.1
531,29,4,site3,422.04
532,29,5,site3,422.47
533,29,6,site3,420.72
534,30,1,site3,421.89
535,30,2,site3,419.4
536,30,3,site3,409.18
537,30,4,site3,426.63
538,30,5,site3,417.44
539,30,6,site3,440.91
540,1,1,site4,455.15
541,1,2,site4,431.4
542,1,3,site4,466.72
543,1,4,site4,471.22
544,1,5,site4,427.4
545,1,6,site4,442.92
546,2,1,site4,441.67
547,2,2,site4,454.22
548,2,3,site4,425.25
549,2,4,site4,430.6
550,2,5,site4,453.66
551,2,6,site4,432.1
552,3,1,site4,437.7
553,3,2,site4,406.69
554,3,3,site4,420.48
555,3,4,site4,426.79
556,3,5,site4,395.86
557,3,6,site4,413.09
558,4,1,site4,403.0
559,4,2,site4,440.39
560,4,3,site4,449.12
561,4,4,site4,420.48
562,4,5,site4,436.52
563,4,6,site4,445.9
564,5,1,site4,437.45
565,5,2,site4,453.73
566,5,3,site4,426.95
567,5,4,site4,431.31
568,5,5,site4,446.35
569,5,6,site4,431.59
570,6,1,site4,438.22
571,6,2,site4,411.84
572,6,3,site4,422.4
573,6,4,site4,422.85
574,6,5,site4,409.15
575,6,6,site4,416.71
576,7,1,site4,416.2
577,7,2,site4,438.4
578,7,3,site4,445.41
579,7,4,site4,419.92
580,7,5,site4,436.15
581,7,6,site4,433.81
582,8,1,site4,438.64
583,8,2,site4,451.61
584,8,3,site4,425.85
585,8,4,site4,430.95
586,8,5,site4,443.71
587,8,6,site4,431.85
588,9,1,site4,438.27
589,9,2,site4,407.39
590,9,3,site4,419.72
591,9,4,site4,401.6
592,9,5,site4,392.76
593,9,6,site4,419.05
594,10,1,site4,410.35
595,10,2,site4,437.23
596,10,3,site4,440.42
597,10,4,site4,419.96
598,10,5,site4,419.85
599,10,6,site4,436.97
600,11,1,site4,431.46
601,11,2,site4,448.25
602,11,3,site4,420.75
603,11,4,site4,425.27
604,11,5,site4,442.47
605,11,6,site4,425.8
606,12,1,site4,436.6
607,12,2,site4,410.44
608,12,3,site4,420.91
609,12,4,site4,423.39
610,12,5,site4,409.67
611,12,6,site4,418.56
612,13,1,site4,417.77
613,13,2,site4,430.82
614,13,3,site4,435.86
615,13,4,site4,411.1
616,13,5,site4,423.17
617,13,6,site4,430.47
618,14,1,site4,429.85
619,14,2,site4,440.35
620,14,3,site4,417.36
621,14,4,site4,421.62
622,14,5,site4,437.98
623,14,6,site4,420.91
624,15,1,site4,436.04
625,15,2,site4,413.72
626,15,3,site4,420.51
627,15,4,site4,416.98
628,15,5,site4,412.47
629,15,6,site4,419.77
630,16,1,site4,410.64
631,16,2,site4,440.95
632,16,3,site4,452.06
633,16,4,site4,426.54
634,16,5,site4,434.44
635,16,6,site4,443.76
636,17,1,site4,437.81
637,17,2,site4,449.7
638,17,3,site4,423.85
639,17,4,site4,429.76
640,17,5,site4,451.98
641,17,6,site4,429.71
642,18,1,site4,442.52
643,18,2,site4,408.11
644,18,3,site4,416.92
645,18,4,site4,404.73
646,18,5,site4,404.01
647,18,6,site4,418.92
648,19,1,site4,433.45
649,19,2,site4,450.24
650,19,3,site4,422.74
651,19,4,site4,427.26
652,19,5,site4,444.46
653,19,6,site4,427.79
654,20,1,site4,438.59
655,20,2,site4,412.43
656,20,3,site4,422.9
657,20,4,site4,425.38
658,20,5,site4,411.66
659,20,6,site4,420.55
660,21,1,site4,415.76
661,21,2,site4,428.81
662,21,3,site4,433.85
663,21,4,site4,409.09
664,21,5,site4,421.16
665,21,6,site4,428.46
666,22,1,site4,406.29
667,22,2,site4,422.97
668,22,3,site4,432.6
669,22,4,site4,408.19
670,22,5,site4,418.4
671,22,6,site4,416.49
672,23,1,site4,422.84
673,23,2,site4,433.34
674,23,3,site4,410.35
675,23,4,site4,414.61
676,23,5,site4,430.97
677,23,6,site4,413.9
678,24,1,site4,405.69
679,24,2,site4,425.4
680,24,3,site4,434.39
681,24,4,site4,408.22
682,24,5,site4,418.72
683,24,6,site4,419.7
684,25,1,site4,408.1
685,25,2,site4,424.39
686,25,3,site4,433.41
687,25,4,site4,406.46
688,25,5,site4,420.91
689,25,6,site4,425.0
690,26,1,site4,423.96
691,26,2,site4,432.63
692,26,3,site4,409.69
693,26,4,site4,415.58
694,26,5,site4,430.36
695,26,6,site4,417.95
696,27,1,site4,441.99
697,27,2,site4,410.31
698,27,3,site4,423.33
699,27,4,site4,431.96
700,27,5,site4,414.29
701,27,6,site4,424.16
702,28,1,site4,411.99
703,28,2,site4,423.84
704,28,3,site4,431.06
705,28,4,site4,407.58
706,28,5,site4,422.78
707,28,6,site4,428.06
708,29,1,site4,423.76
709,29,2,site4,430.7
710,29,3,site4,405.71
711,29,4,site4,415.75
712,29,5,site4,428.28
713,29,6,site4,415.59
714,30,1,site4,420.68
715,30,2,site4,414.36
716,30,3,site4,420.43
717,30,4,site4,422.84
718,30,5,site4,412.45
719,30,6,site4,447.61
720,1,1,site5,460.61
721,1,2,site5,434.14
722,1,3,site5,456.43
723,1,4,site5,461.56
724,1,5,site5,432.33
725,1,6,site5,448.34
726,2,1,site5,452.82
727,2,2,site5,470.79
728,2,3,site5,435.33
729,2,4,site5,447.26
730,2,5,site5,465.56
731,2,6,site5,440.33
732,3,1,site5,449.69
733,3,2,site5,420.97
734,3,3,site5,430.78
735,3,4,site5,439.63
736,3,5,site5,410.63
737,3,6,site5,427.89
738,4,1,site5,421.32
739,4,2,site5,456.13
740,4,3,site5,463.7
741,4,4,site5,431.45
742,4,5,site5,446.27
743,4,6,site5,460.09
744,5,1,site5,449.49
745,5,2,site5,468.87
746,5,3,site5,437.74
747,5,4,site5,445.13
748,5,5,site5,460.57
749,5,6,site5,438.47
750,6,1,site5,449.69
751,6,2,site5,423.67
752,6,3,site5,432.33
753,6,4,site5,440.19
754,6,5,site5,419.57
755,6,6,site5,428.38
756,7,1,site5,423.44
757,7,2,site5,451.59
758,7,3,site5,461.72
759,7,4,site5,428.88
760,7,5,site5,445.2
761,7,6,site5,446.78
762,8,1,site5,448.87
763,8,2,site5,466.86
764,8,3,site5,435.51
765,8,4,site5,446.14
766,8,5,site5,457.99
767,8,6,site5,439.92
768,9,1,site5,450.19
769,9,2,site5,421.68
770,9,3,site5,430.83
771,9,4,site5,426.62
772,9,5,site5,409.91
773,9,6,site5,430.39
774,10,1,site5,423.87
775,10,2,site5,451.87
776,10,3,site5,457.59
777,10,4,site5,428.33
778,10,5,site5,434.43
779,10,6,site5,455.77
780,11,1,site5,441.61
781,11,2,site5,463.86
782,11,3,site5,431.48
783,11,4,site5,438.42
784,11,5,site5,455.42
785,11,6,site5,431.36
786,12,1,site5,447.33
787,12,2,site5,422.83
788,12,3,site5,429.97
789,12,4,site5,438.86
790,12,5,site5,418.82
791,12,6,site5,427.97
792,13,1,site5,422.19
793,13,2,site5,443.99
794,13,3,site5,449.03
795,13,4,site5,420.76
796,13,5,site5,430.88
